,Week,Name1,Score1,Name2,Score2,Type
338,11,Team JN,116.64,Team BD,98.4,Regular
339,12,Team DH,108.98,Team WR,122.12,Regular
340,12,Team TP,102.5,Team Caleb,112.64,Regular
341,12,Team GM,118.62,Team WN,116.16,Regular
342,12,Team BL,140.5,Team JN,110.28,Regular
343,12,Team RW,118.66,Team BD,105.98,Regular
344,13,Team DH,100.82,Team BL,101.52,Regular
345,13,Team JN,145.72,Team RW,78.78,Regular
346,13,Team GM,118.8,Team WR,108.6,Regular
347,13,Team WN,120.96,Team TP,151.38,Regular
348,13,Team BD,125.06,Team Caleb,124.76,Regular
349,14,,,Team JN,0.0,Playoff
350,14,Team BD,0.0,Team WR,0.0,Playoff
351,14,Team DH,0.0,Team GM,0.0,Playoff
352,14,,,Team BL,0.0,Playoff
353,14,Team Caleb,0.0,Team WN,0.0,Playoff
354,14,Team RW,0.0,Team TP,0.0,Playoff
355,1,Team WR,95.32,Team GM,133.84,Regular
356,1,Team TP,99.76,Team BL,86.8,Regular
357,1,Team DH,82.16,Team RW,65.44,Regular
358,1,Team Caleb,78.68,Team BD,104.56,Regular
359,1,Team WN,69.64,Team JN,123.64,Regular
360,2,Team TP,148.76,Team WR,138.86,Regular
361,2,Team GM,108.0,Team DH,110.98,Regular
362,2,Team BL,102.42,Team Caleb,99.48,Regular
363,2,Team RW,84.76,Team WN,85.04,Regular
364,2,Team BD,89.4,Team JN,95.24,Regular
365,3,Team WR,124.52,Team DH,124.98,Regular
366,3,Team Caleb,128.06,Team TP,101.48,Regular
367,3,Team WN,149.96,Team GM,139.18,Regular
368,3,Team JN,101.96,Team BL,67.68,Regular
369,3,Team BD,106.8,Team RW,93.92,Regular
370,4,Team Caleb,142.7,Team WR,83.28,Regular
371,4,Team DH,137.24,Team WN,81.38,Regular
372,4,Team TP,63.64,Team JN,131.9,Regular
373,4,Team GM,104.82,Team BD,113.88,Regular
374,4,Team BL,150.06,Team RW,94.8,Regular
375,5,Team WR,103.92,Team WN,69.24,Regular
376,5,Team JN,99.48,Team Caleb,97.22,Regular
377,5,Team BD,111.48,Team DH,102.84,Regular
378,5,Team RW,176.06,Team TP,56.76,Regular
379,5,Team BL,116.32,Team GM,163.34,Regular
380,6,Team JN,78.22,Team WR,102.58,Regular
381,6,Team WN,121.34,Team BD,119.78,Regular
382,6,Team Caleb,112.4,Team RW,78.56,Regular
383,6,Team DH,96.62,Team BL,113.6,Regular
384,6,Team TP,97.24,Team GM,101.54,Regular
385,7,Team WR,66.34,Team BD,95.96,Regular
386,7,Team RW,98.4,Team JN,99.86,Regular
387,7,Team BL,129.06,Team WN,113.96,Regular
